subtitleid	lang
10001	cnen
10002	cn
10003	cn
10003	tw
10003	en
10004	cn
10005	cn
10005	tw
10006	cn
10006	tw
10007	cn
10007	tw
10007	cnen
10008	cn
10008	tw
10008	cnen
10009	cn
10009	tw
10009	cnen
10010	cnen
10011	cn
10011	tw
10011	en
10011	cnen
10012	cn
10013	cn
10013	en
10013	cnen
10014	cn
10014	en
10014	cnen
10015	cn
10015	tw
10016	cn
10017	cn
10018	cn
10018	tw
10018	en
10018	cnen
10019	cn
10019	tw
10020	cn
10020	tw
10021	cn
10021	tw
10022	cn
10022	tw
10023	cn
10023	tw
10023	en
10023	cnen
10024	cn
10025	cn
10026	cn
10027	cn
10027	tw
10027	en
10027	cnen
10028	cn
10029	cn
10029	tw
10029	en
10029	cnen
10030	cn
10031	cn
10032	cn
10033	cn
10034	cnen
10035	cn
10035	tw
10036	cn
10037	cn
10038	cn
10039	cn
10040	cn
10041	cn
10042	cn
10043	cn
10044	cn
10045	cn
10046	cn
10047	cn
10048	cn
10048	tw
10048	cnen
10049	cn
10050	cn
10051	cn
10052	cn
10052	tw
10052	cnen
10053	cn
10054	cn
10054	tw
10054	en
10054	cnen
10055	cnen
10056	cnen
10057	cnen
10058	cnen
10059	cnen
10060	cn
10061	cn
10062	cn
10063	cn
10064	cn
10065	cn
10066	cn
10067	cn
10068	cn
10069	cn
10070	cn
10071	cn
10072	cn
10073	cn
10074	cn
10075	cn
10076	cn
10077	cn
10078	cn
10079	cn
10080	cn
10081	cn
10082	cn
10083	cn
10084	cn
10085	cnen
10086	cnen
10087	cn
10088	cn
10089	cn
10090	cn
10091	cn
10092	cn
10093	cn
10094	cn
10094	cnen
10095	cn
10096	cn
10097	cn
10098	cn
10099	cn
10100	cn
10101	cn
10102	cn
10102	cnen
10103	cn
10104	cn
10105	cn
10105	tw
10106	cn
10107	cn
10108	cn
10109	cn
10110	cn
10111	cn
10112	cn
10113	cn
10114	cn
10115	cn
10116	cn
10117	cn
10118	cn
